,face_id,x,y,w,h,annot_type_id
150,39503,741,1109,1861,1861,1
151,39504,204,83,244,244,1
152,39505,1355,503,722,722,1
153,39506,177,119,236,236,1
154,39507,277,348,1068,1068,1
155,39509,-211,676,1894,1894,1
156,39510,886,828,1446,1446,1
157,39511,278,528,446,446,1
158,39512,229,36,320,320,1
159,39513,132,132,86,86,1
160,39514,231,78,132,132,1
161,39516,24,75,285,285,1
162,39517,204,49,262,262,1
163,39518,109,150,207,207,1
164,39523,245,130,271,271,1
165,39524,312,-17,189,189,1
166,39525,70,98,415,415,1
167,39526,83,84,283,283,1
168,39527,79,208,643,643,1
169,39528,54,43,72,72,1
170,39529,229,-10,372,372,1
171,39530,254,106,178,178,1
172,39531,628,302,1241,1241,1
173,39532,84,67,313,313,1
174,39533,130,123,71,71,1
175,39534,294,128,72,72,1
176,39537,142,69,114,114,1
177,39538,185,108,131,131,1
178,39539,203,123,101,101,1
179,39540,0,129,68,68,1
180,39541,211,106,70,70,1
181,39542,91,90,350,350,1
182,39543,131,39,98,98,1
183,39544,236,52,202,202,1
184,39545,138,92,253,253,1
185,39546,268,47,98,98,1
186,39547,270,113,686,686,1
187,39548,68,95,174,174,1
188,39549,435,213,372,372,1
189,39550,252,120,104,104,1
190,39551,154,206,128,128,1
191,39552,151,169,120,120,1
192,39553,1117,968,1561,1561,1
193,39554,123,153,246,246,1
194,39555,231,104,225,225,1
195,39556,-9,-33,358,358,1
196,39557,265,186,261,261,1
197,39558,373,588,189,189,1
198,39559,540,184,289,289,1
199,39560,54,57,229,229,1
200,39561,573,140,130,130,1
201,39562,425,417,200,200,1
202,39563,950,457,962,962,1
203,39564,573,287,523,523,1
204,39566,162,733,852,852,1
205,39567,216,194,609,609,1
206,39568,173,51,228,228,1
207,39569,114,77,58,58,1
208,39570,188,86,89,89,1
209,39571,58,234,572,572,1
210,39572,311,28,214,214,1
211,39573,239,120,114,114,1
212,39574,79,139,229,229,1
213,39575,255,45,52,52,1
214,39576,114,20,358,358,1
215,39578,205,72,490,490,1
216,39579,219,-18,346,346,1
217,39580,178,44,153,153,1
218,39581,155,87,185,185,1
219,39582,127,127,141,141,1
220,39583,167,124,185,185,1
221,39584,174,102,166,166,1
222,39585,149,87,144,144,1
223,39586,-21,75,368,368,1
224,39587,437,250,1086,1086,1
225,39588,835,462,523,523,1
226,39589,163,160,127,127,1
227,39590,351,237,66,66,1
228,39591,230,113,149,149,1
229,39592,230,192,307,307,1
230,39593,204,157,152,152,1
231,39594,134,74,152,152,1
232,39595,228,36,136,136,1
233,39596,116,51,127,127,1
234,39597,172,89,191,191,1
235,39598,137,159,172,172,1
236,39599,207,456,1830,1830,1
237,39600,227,79,129,129,1
238,39601,-4,18,1331,1331,1
239,39602,81,131,206,206,1
240,39603,1126,823,1224,1224,1
241,39604,211,206,179,179,1
242,39606,363,-13,440,440,1
243,39607,98,81,131,131,1
244,39609,60,132,204,204,1
245,39610,397,42,176,176,1
246,39611,256,86,354,354,1
247,39612,464,333,1336,1336,1
248,39613,27,117,317,317,1
249,39614,132,123,356,356,1
250,39615,101,57,225,225,1
251,39616,78,60,152,152,1
252,39617,331,-5,170,170,1
253,39618,928,1043,1500,1500,1
254,39619,116,3,243,243,1
255,39620,40,18,291,291,1
256,39621,80,42,293,293,1
257,39622,145,44,307,307,1
258,39624,107,132,186,186,1
259,39625,179,57,192,192,1
260,39626,788,463,1117,1117,1
261,39628,-5,-29,342,342,1
262,39629,446,323,2639,2639,1
263,39630,17,111,277,277,1
264,39631,284,419,532,532,1
265,39632,41,0,255,255,1
266,39633,224,99,190,190,1
267,39634,126,76,146,146,1
268,39635,1292,890,1196,1196,1
269,39636,54,51,363,363,1
270,39637,57,87,283,283,1
271,39638,843,163,1216,1216,1
272,39639,1721,833,1343,1343,1
273,39640,233,129,258,258,1
274,39641,43,143,149,149,1
275,39642,198,55,220,220,1
276,39643,67,67,187,187,1
277,39644,384,148,382,382,1
278,39645,440,219,697,697,1
279,39646,222,133,276,276,1
280,39647,474,408,1873,1873,1
281,39648,104,109,177,177,1
282,39649,5,206,306,306,1
283,39650,59,140,159,159,1
284,39651,444,216,540,540,1
285,39652,906,169,793,793,1
286,39653,209,65,151,151,1
287,39654,472,447,928,928,1
288,39655,1052,465,857,857,1
289,39656,93,63,123,123,1
290,39657,279,244,284,284,1
291,39658,438,-45,1070,1070,1
292,39659,666,369,728,728,1
293,39660,659,1649,1612,1612,1
294,39661,190,35,249,249,1
295,39662,-10,104,370,370,1
296,39663,278,40,116,116,1
297,39664,77,204,500,500,1
298,39665,1383,383,2584,2584,1
299,39666,550,245,285,285,1
300,39667,-46,86,237,237,1
301,39668,377,112,233,233,1
302,39669,837,72,241,241,1
303,39670,114,192,786,786,1
304,39671,152,52,341,341,1
305,39672,262,102,157,157,1
306,39673,31,103,362,362,1
307,39674,111,105,186,186,1
308,39675,201,121,216,216,1
309,39676,115,155,115,115,1
310,39677,144,74,208,208,1
311,39678,119,274,334,334,1
312,39679,336,304,450,450,1
313,39680,-36,315,416,416,1
314,39681,294,52,84,84,1
315,39682,155,94,85,85,1
316,39683,78,97,219,219,1
317,39684,84,128,207,207,1
318,39685,143,123,106,106,1
319,39686,126,131,84,84,1
320,39687,138,139,88,88,1
321,39688,151,77,62,62,1
322,39689,84,89,94,94,1
323,39690,109,106,61,61,1
324,39691,205,126,96,96,1
325,39692,776,306,545,545,1
326,39693,229,271,144,144,1
327,39694,263,70,114,114,1
328,39695,225,113,87,87,1
329,39696,218,106,245,245,1
330,39697,282,291,229,229,1
331,39698,86,86,122,122,1
332,39699,213,153,255,255,1
333,39700,365,139,184,184,1
334,39701,228,198,337,337,1
335,39702,199,199,530,530,1
336,39703,100,158,145,145,1
337,39704,123,176,120,120,1
338,39705,101,186,110,110,1
339,39706,514,278,449,449,1
340,39707,128,83,231,231,1
341,39708,310,221,120,120,1
342,39709,137,90,108,108,1
343,39710,170,92,115,115,1
344,39711,433,112,337,337,1
345,39712,161,68,71,71,1
346,39713,198,189,166,166,1
347,39714,203,348,132,132,1
348,39715,142,160,116,116,1
349,39717,189,134,155,155,1
350,39718,265,65,80,80,1
351,39719,2902,910,823,823,1
352,39720,447,115,140,140,1
353,39721,334,140,224,224,1
354,39722,57,98,188,188,1
355,39723,392,21,631,631,1
356,39724,396,77,551,551,1
357,39725,86,130,378,378,1
358,39726,250,98,161,161,1
359,39727,12,89,190,190,1
360,39728,125,69,297,297,1
361,39729,1,100,352,352,1
362,39730,138,372,208,208,1
363,39731,393,118,219,219,1
364,39732,94,159,190,190,1
365,39734,1253,689,1144,1144,1
366,39735,244,49,150,150,1
367,39736,980,444,1209,1209,1
368,39737,110,140,161,161,1
369,39738,226,135,165,165,1
370,39739,215,154,244,244,1
371,39740,145,73,188,188,1
372,39741,125,29,510,510,1
373,39742,216,-15,522,522,1
374,39743,64,258,497,497,1
375,39744,171,44,329,329,1
376,39745,802,672,935,935,1
377,39746,219,109,109,109,1
378,39747,-46,75,430,430,1
379,39748,100,87,103,103,1
380,39749,305,93,221,221,1
381,39750,265,185,190,190,1
382,39751,250,83,627,627,1
383,39753,39,124,202,202,1
384,39755,870,1073,1007,1007,1
385,39756,428,260,252,252,1
386,39757,111,63,168,168,1
387,39758,138,181,180,180,1
388,39759,98,121,176,176,1
389,39760,446,549,1172,1172,1
390,39761,40,73,249,249,1
391,39762,368,120,541,541,1
392,39763,579,381,606,606,1
393,39764,239,65,55,55,1
394,39765,160,100,133,133,1
395,39766,167,-3,529,529,1
396,39767,232,208,73,73,1
397,39768,211,155,117,117,1
398,39769,359,290,554,554,1
399,39770,89,69,207,207,1
400,39771,71,15,161,161,1
401,39772,91,83,278,278,1
402,39773,140,71,56,56,1
403,39774,397,74,51,51,1
404,39775,181,180,274,274,1
405,39776,67,102,192,192,1
406,39779,3,133,297,297,1
407,39780,31,447,303,303,1
408,39781,338,325,299,299,1
409,39782,468,361,273,273,1
410,39783,72,249,178,178,1
411,39784,44,81,235,235,1
412,39785,109,94,218,218,1
413,39786,432,321,230,230,1
414,39787,1252,452,1220,1220,1
415,39788,1034,963,465,465,1
416,39789,310,266,285,285,1
417,39790,137,85,137,137,1
418,39791,18,310,473,473,1
419,39792,195,39,293,293,1
420,39793,140,168,139,139,1
421,39794,159,124,177,177,1
422,39795,17,562,1494,1494,1
423,39796,220,181,243,243,1
424,39797,122,-7,300,300,1
425,39798,467,157,340,340,1
426,39799,147,64,240,240,1
427,39800,213,79,145,145,1
428,39801,291,254,513,513,1
429,39802,83,56,250,250,1
430,39803,292,230,123,123,1
431,39804,462,23,202,202,1
432,39805,55,30,107,107,1
433,39806,135,18,105,105,1
434,39807,254,27,106,106,1
435,39808,358,25,112,112,1
436,39809,87,154,185,185,1
437,39810,43,18,352,352,1
438,39811,134,56,728,728,1
439,39812,229,161,82,82,1
440,39813,118,86,87,87,1
441,39814,69,58,137,137,1
442,39815,169,54,133,133,1
443,39816,53,79,105,105,1
444,39817,131,68,104,104,1
445,39818,247,75,109,109,1
446,39819,352,73,113,113,1
447,39820,1267,496,687,687,1
448,39821,2102,997,744,744,1
449,39822,89,102,189,189,1
450,39823,174,77,81,81,1
451,39824,152,42,79,79,1
452,39825,227,152,228,228,1
453,39826,213,125,276,276,1
454,39827,298,509,1120,1120,1
455,39828,385,277,1035,1035,1
456,39829,101,61,84,84,1
457,39830,181,59,160,160,1
458,39831,126,150,74,74,1
459,39832,204,160,64,64,1
460,39833,234,92,82,82,1
461,39835,244,118,53,53,1
462,39837,152,118,78,78,1
463,39838,100,110,147,147,1
464,39839,114,151,113,113,1
465,39840,140,110,68,68,1
466,39841,162,200,83,83,1
467,39842,149,148,89,89,1
468,39843,136,144,81,81,1
469,39844,138,143,81,81,1
470,39845,219,99,73,73,1
471,39846,54,118,235,235,1
472,39847,133,137,74,74,1
473,39848,173,159,119,119,1
474,39849,151,131,58,58,1
475,39850,182,156,61,61,1
476,39851,83,70,133,133,1
477,39852,928,301,926,926,1
478,39853,275,247,76,76,1
479,39854,282,104,206,206,1
480,39855,715,862,1182,1182,1
481,39856,115,143,221,221,1
482,39857,174,19,286,286,1
483,39858,162,140,336,336,1
484,39859,78,29,121,121,1
485,39860,125,84,259,259,1
486,39861,216,108,415,415,1
487,39862,173,77,192,192,1
488,39863,237,84,163,163,1
489,39864,329,318,742,742,1
490,39865,201,70,269,269,1
491,39866,281,145,237,237,1
492,39867,294,223,187,187,1
493,39868,604,312,95,95,1
494,39869,281,126,399,399,1
495,39870,302,19,613,613,1
496,39871,97,115,200,200,1
497,39872,-2,48,302,302,1
498,39873,183,410,1079,1079,1
499,39874,825,263,463,463,1
500,39875,58,98,190,190,1
501,39876,123,84,83,83,1
502,39877,1049,1079,1245,1245,1
503,39878,35,59,372,372,1
504,39879,109,86,110,110,1
505,39880,161,62,144,144,1
506,39881,1419,520,1843,1843,1
507,39882,36,100,409,409,1
508,39883,78,128,218,218,1
509,39884,791,338,1403,1403,1
510,39885,-188,299,1523,1523,1
511,39886,143,50,264,264,1
512,39887,104,141,190,190,1
513,39888,69,91,205,205,1
514,39889,56,65,257,257,1
515,39891,116,223,128,128,1
516,39892,306,78,147,147,1
517,39893,236,292,1110,1110,1
518,39894,472,112,211,211,1
519,39895,263,88,98,98,1
520,39896,200,213,2095,2095,1
521,39897,616,800,1313,1313,1
522,39898,486,287,1372,1372,1
523,39899,129,171,442,442,1
524,39900,281,19,561,561,1
525,39901,56,179,807,807,1
526,39902,133,29,182,182,1
527,39903,4,-39,340,340,1
528,39904,118,96,90,90,1
529,39905,741,270,521,521,1
530,39906,213,190,98,98,1
531,39907,630,232,1406,1406,1
532,39908,99,168,69,69,1
533,39909,501,306,716,716,1
534,39910,430,188,366,366,1
535,39911,112,67,201,201,1
536,39912,56,111,344,344,1
537,39913,1858,534,1074,1074,1
538,39914,205,28,301,301,1
539,39915,53,170,242,242,1
540,39916,644,451,809,809,1
541,39917,1360,691,705,705,1
542,39918,104,212,104,104,1
543,39919,98,6,234,234,1
544,39920,166,117,194,194,1
545,39921,405,95,401,401,1
546,39922,58,153,540,540,1
547,39923,194,100,120,120,1
548,39924,283,148,142,142,1
549,39925,511,334,524,524,1
550,39926,456,94,294,294,1
551,39927,297,196,389,389,1
552,39928,1194,1150,886,886,1
553,39929,463,290,696,696,1
554,39930,756,439,488,488,1
555,39931,176,132,173,173,1
556,39932,207,7,369,369,1
557,39933,200,154,287,287,1
558,39934,375,268,348,348,1
559,39935,69,78,246,246,1
560,39936,94,57,168,168,1
561,39939,448,178,444,444,1
562,39940,63,-11,488,488,1
563,39941,167,337,468,468,1
564,39942,253,136,117,117,1
565,39943,-41,486,1298,1298,1
566,39944,1098,951,1289,1289,1
567,39945,60,95,194,194,1
568,39946,653,691,1217,1217,1
569,39947,88,258,444,444,1
570,39948,284,90,162,162,1
571,39949,43,124,210,210,1
572,39950,183,107,196,196,1
573,39951,-191,259,627,627,1
574,39952,13,72,301,301,1
575,39953,32,3,389,389,1
576,39954,208,83,156,156,1
577,39955,769,765,981,981,1
578,39956,3,-28,402,402,1
579,39957,94,241,142,142,1
580,39958,32,132,333,333,1
581,39959,233,40,307,307,1
582,39960,242,118,185,185,1
583,39961,154,19,148,148,1
584,39962,131,35,311,311,1
585,39963,73,49,381,381,1
586,39964,199,162,227,227,1
587,39965,135,60,242,242,1
588,39966,655,33,329,329,1
589,39967,521,719,1812,1812,1
590,39968,516,104,197,197,1
591,39969,48,77,230,230,1
592,39970,208,297,679,679,1
593,39971,79,97,283,283,1
594,39972,216,330,312,312,1
595,39974,313,162,142,142,1
596,39975,298,122,149,149,1
597,39976,282,193,142,142,1
598,39977,246,143,164,164,1
599,39978,226,179,172,172,1
600,39979,372,289,481,481,1
601,39980,117,97,157,157,1
602,39981,125,206,385,385,1
603,39982,99,136,224,224,1
604,39983,40,54,273,273,1
605,39984,188,106,209,209,1
606,39985,237,117,58,58,1
607,39986,142,120,94,94,1
608,39987,46,35,95,95,1
609,39988,289,52,112,112,1
610,39989,466,16,104,104,1
611,39990,624,41,119,119,1
612,39991,849,54,122,122,1
613,39992,108,66,574,574,1
614,39993,68,33,62,62,1
615,39994,185,113,180,180,1
616,39995,-86,-95,549,549,1
617,39996,211,146,123,123,1
618,39997,183,113,190,190,1
619,39998,129,89,89,89,1
620,39999,181,50,93,93,1
621,40000,-15,98,544,544,1
622,40001,532,197,291,291,1
623,40002,910,394,508,508,1
624,40003,194,123,82,82,1
625,40004,545,94,238,238,1
626,40005,258,79,59,59,1
627,40006,132,82,72,72,1
628,40007,33,47,319,319,1
629,40008,156,74,99,99,1
630,40009,95,-9,133,133,1
631,40010,664,197,216,216,1
632,40011,154,61,131,131,1
633,40012,172,205,64,64,1
634,40013,1266,891,466,466,1
635,40014,516,203,128,128,1
636,40015,110,99,338,338,1
637,40016,239,-46,192,192,1
638,40017,76,73,253,253,1
639,40018,103,29,275,275,1
640,40019,80,136,218,218,1
641,40020,193,63,101,101,1
642,40021,120,80,108,108,1
643,40022,793,665,502,502,1
644,40023,134,115,62,62,1
645,40024,320,121,59,59,1
646,40025,116,58,46,46,1
647,40026,275,43,47,47,1
648,40027,264,156,43,43,1
649,40028,389,175,37,37,1
650,40029,181,193,54,54,1
651,40030,291,35,51,51,1
652,40031,385,125,42,42,1
653,40032,228,108,69,69,1
654,40033,273,116,73,73,1
655,40034,363,136,63,63,1
656,40035,254,75,54,54,1
657,40036,149,119,60,60,1
658,40037,98,79,44,44,1
659,40038,139,196,72,72,1
660,40039,255,212,133,133,1
661,40040,192,163,150,150,1
662,40041,195,133,209,209,1
663,40042,160,173,545,545,1
664,40043,-49,-129,2464,2464,1
665,40044,73,73,208,208,1
666,40045,359,234,459,459,1
667,40046,113,109,78,78,1
668,40047,344,108,62,62,1
669,40048,329,71,55,55,1
670,40049,610,1067,1218,1218,1
671,40050,417,271,1457,1457,1
672,40051,494,456,465,465,1
673,40052,146,148,64,64,1
674,40053,104,140,190,190,1
675,40054,222,114,322,322,1
676,40055,1196,1151,881,881,1
677,40056,1178,672,484,484,1
678,40057,181,230,121,121,1
679,40058,209,189,191,191,1
680,40059,142,23,239,239,1
681,40060,330,64,51,51,1
682,40061,322,47,53,53,1
683,40062,304,229,150,150,1
684,40063,552,136,155,155,1
685,40064,58,83,340,340,1
686,40065,1446,437,770,770,1
687,40066,632,723,569,569,1
688,40067,351,31,85,85,1
689,40068,235,112,123,123,1
690,40069,112,32,58,58,1
691,40070,153,116,213,213,1
692,40071,156,135,219,219,1
693,40072,169,157,207,207,1
694,40073,163,164,193,193,1
695,40074,434,238,407,407,1
696,40075,143,28,70,70,1
697,40076,305,79,237,237,1
698,40077,103,56,128,128,1
699,40078,129,76,117,117,1
700,40079,118,82,135,135,1
701,40080,122,76,161,161,1
702,40081,221,82,187,187,1
703,40082,129,128,258,258,1
704,40083,1084,662,1718,1718,1
705,40084,447,138,174,174,1
706,40085,129,103,338,338,1
707,40086,106,-1,323,323,1
708,40087,1118,1124,1282,1282,1
709,40088,124,59,144,144,1
710,40089,548,376,746,746,1
711,40090,180,58,218,218,1
712,40091,540,301,404,404,1
713,40092,754,74,2398,2398,1
714,40093,1020,875,1308,1308,1
715,40094,165,136,307,307,1
716,40095,276,53,228,228,1
717,40096,87,380,523,523,1
718,40097,212,27,203,203,1
719,40098,150,67,145,145,1
720,40099,221,72,201,201,1
721,40100,53,48,170,170,1
722,40101,148,81,180,180,1
723,40102,256,91,133,133,1
724,40103,149,19,62,62,1
725,40104,340,13,61,61,1
726,40105,254,70,58,58,1
727,40106,634,401,1549,1549,1
728,40107,157,87,78,78,1
729,40108,-87,201,662,662,1
730,40109,176,68,113,113,1
731,40110,827,735,833,833,1
732,40111,172,134,203,203,1
733,40112,150,44,286,286,1
734,40113,132,70,271,271,1
735,40114,82,35,127,127,1
736,40115,9,57,399,399,1
737,40116,182,85,260,260,1
738,40117,275,126,154,154,1
739,40118,326,251,282,282,1
740,40119,167,111,176,176,1
741,40120,-5,75,347,347,1
742,40121,98,117,213,213,1
743,40122,170,-11,204,204,1
744,40123,1208,493,1631,1631,1
745,40124,76,47,289,289,1
746,40125,94,112,91,91,1
747,40126,208,89,148,148,1
748,40128,120,108,174,174,1
749,40129,352,271,499,499,1
750,40130,147,189,132,132,1
751,40131,673,363,1265,1265,1
752,40132,-66,75,402,402,1
753,40133,116,132,104,104,1
754,40134,82,65,288,288,1
755,40135,182,74,94,94,1
756,40136,140,109,186,186,1
757,40137,222,146,260,260,1
758,40138,123,121,298,298,1
759,40139,114,108,143,143,1
760,40140,235,151,123,123,1
761,40141,349,73,117,117,1
762,40142,343,246,140,140,1
763,40144,113,136,106,106,1
764,40145,206,181,107,107,1
765,40146,165,42,122,122,1
766,40147,1218,139,2162,2162,1
767,40148,261,104,133,133,1
768,40149,310,172,205,205,1
769,40150,146,826,1182,1182,1
770,40151,962,443,576,576,1
771,40152,-18,28,348,348,1
772,40153,54,216,226,226,1
773,40154,75,37,232,232,1
774,40155,219,118,140,140,1
775,40156,736,660,1826,1826,1
776,40157,302,288,417,417,1
777,40158,331,212,323,323,1
778,40159,209,107,594,594,1
779,40160,50,26,256,256,1
780,40161,460,247,185,185,1
781,40162,1797,660,1625,1625,1
782,40163,466,482,748,748,1
783,40164,145,48,208,208,1
784,40165,538,179,253,253,1
785,40166,280,85,73,73,1
786,40167,713,197,205,205,1
787,40168,387,569,2015,2015,1
788,40169,213,-21,521,521,1
789,40170,160,80,139,139,1
790,40171,470,436,454,454,1
791,40172,144,135,94,94,1
792,40173,237,65,194,194,1
793,40174,64,84,254,254,1
794,40175,186,48,48,48,1
795,40176,324,-5,310,310,1
796,40177,261,99,489,489,1
797,40178,288,120,168,168,1
798,40179,137,93,116,116,1
799,40180,287,161,214,214,1
800,40181,190,109,187,187,1
801,40182,128,130,234,234,1
802,40183,100,175,436,436,1
803,40184,271,189,789,789,1
804,40185,139,13,264,264,1
805,40186,227,67,174,174,1
806,40187,156,251,471,471,1
807,40188,125,42,232,232,1
808,40189,1354,505,1326,1326,1
809,40190,143,130,102,102,1
810,40191,163,116,143,143,1
811,40192,122,98,111,111,1
812,40193,1065,811,1253,1253,1
813,40194,164,197,342,342,1
814,40195,419,462,991,991,1
815,40196,69,76,311,311,1
816,40197,197,96,284,284,1
817,40198,195,72,125,125,1
818,40199,252,84,200,200,1
819,40200,94,269,385,385,1
820,40201,1045,467,1398,1398,1
821,40202,56,12,147,147,1
822,40203,283,21,133,133,1
823,40204,50,156,151,151,1
824,40205,293,161,135,135,1
825,40206,1073,650,729,729,1
826,40207,237,29,411,411,1
827,40208,200,227,152,152,1
828,40209,135,150,201,201,1
829,40210,134,101,95,95,1
830,40211,2075,652,1165,1165,1
831,40212,172,115,198,198,1
832,40213,102,147,86,86,1
833,40214,163,66,459,459,1
834,40215,496,104,452,452,1
835,40216,123,44,308,308,1
836,40217,139,2,286,286,1
837,40218,213,118,211,211,1
838,40219,104,98,131,131,1
839,40220,351,106,113,113,1
840,40221,106,-43,381,381,1
841,40222,245,300,571,571,1
842,40223,171,193,186,186,1
843,40224,93,55,280,280,1
844,40225,444,159,438,438,1
845,40226,234,76,93,93,1
846,40227,48,11,287,287,1
847,40228,161,67,140,140,1
848,40229,253,152,194,194,1
849,40230,440,681,1525,1525,1
850,40231,373,296,626,626,1
851,40232,142,130,233,233,1
852,40233,253,234,426,426,1
853,40234,1021,756,816,816,1
854,40235,617,156,297,297,1
855,40236,297,229,351,351,1
856,40237,-20,4,376,376,1
857,40238,194,81,246,246,1
858,40239,2200,459,1549,1549,1
859,40240,7,178,232,232,1
860,40241,193,69,95,95,1
861,40242,626,937,1339,1339,1
862,40243,117,97,242,242,1
863,40244,-33,0,342,342,1
864,40245,82,28,308,308,1
865,40246,1213,536,756,756,1
866,40247,153,101,202,202,1
867,40248,741,335,358,358,1
868,40249,250,188,394,394,1
869,40250,8,14,455,455,1
870,40251,495,348,479,479,1
871,40252,90,25,106,106,1
872,40253,58,289,111,111,1
873,40254,307,149,262,262,1
874,40255,190,21,281,281,1
875,40256,29,111,124,124,1
876,40257,253,42,153,153,1
877,40258,312,197,215,215,1
878,40259,659,361,734,734,1
879,40260,64,33,325,325,1
880,40261,63,82,177,177,1
881,40262,260,77,132,132,1
882,40263,306,165,336,336,1
883,40264,251,134,113,113,1
884,40265,14,69,283,283,1
885,40266,-45,21,549,549,1
886,40267,137,195,449,449,1
887,40268,285,13,165,165,1
888,40269,258,74,127,127,1
889,40270,186,96,159,159,1
890,40271,187,114,313,313,1
891,40272,148,119,127,127,1
892,40273,270,127,188,188,1
893,40274,173,142,186,186,1
894,40275,34,99,282,282,1
895,40276,189,107,249,249,1
896,40277,145,90,223,223,1
897,40278,204,61,331,331,1
898,40279,168,101,203,203,1
899,40280,68,77,213,213,1
900,40281,170,141,183,183,1
901,40282,141,100,267,267,1
902,40283,342,198,251,251,1
903,40284,422,277,167,167,1
904,40285,129,23,189,189,1
905,40286,207,58,190,190,1
906,40287,162,571,1549,1549,1
907,40288,206,5,329,329,1
908,40289,25,46,286,286,1
909,40290,190,62,104,104,1
910,40291,533,309,627,627,1
911,40292,993,443,1204,1204,1
912,40293,209,146,187,187,1
913,40294,238,84,240,240,1
